id,area,convex_area,eccentricity,equivalent_diameter,euler_number,major_axis_length,minor_axis_length,perimeter,target
1,3678,4599,0.4973386773448743,68.43226611428214,0,90.80048310628358,78.77454719340551,520.1492782986674,1
2,1644,2028,0.648516677503254,45.751566219579935,0,64.75009357999211,49.28780011203754,267.49747468305833,1
3,1006,1120,0.4015498289920287,35.78936967876878,0,42.31981948274658,38.75806400764091,177.45584412271572,0
4,5954,7740,0.32738145332291374,87.06818161276345,0,113.3525467677776,107.10594415287873,840.7005768508881,1
5,1063,1225,0.06112498525977974,36.78931415579092,0,43.032603473478154,42.95213766298385,188.8700576850888,0
6,1080,1225,0.04944211539377629,37.0823233942262,0,42.74937509486563,42.69709221313139,185.94112549695427,0
7,9707,13786,0.367316839099123,111.17255174162472,0,155.56791621450859,144.6930774062079,1274.6843789287116,1
8,1003,1155,0.32954784009969507,35.73596596384892,0,42.9539463930584,40.55449075627448,180.8700576850888,0
9,11664,14946,0.637523170020528,121.86495004631536,0,170.20773542877876,131.1333469564228,1224.465078838705,1
10,1066,1260,0.23492062904057534,36.84119100528216,0,44.659341098327815,43.40952963134888,193.4558441227157,0
11,1286,1554,0.471894973827198,40.464627201166934,0,52.42856240081969,46.22389213125476,222.5269119345812,0
12,16292,21009,0.3061506608557386,144.02645126095857,0,183.77645919329598,174.95207852030964,1469.3828637385466,1
13,3066,3876,0.5273245935791103,62.48001635849665,0,84.48788812629066,71.78631002185888,400.0243866176395,1
14,4937,6440,0.6477461273141337,79.28419535038176,0,114.86976974428582,87.51425268560435,623.9066376115481,1
15,1398,1683,0.7530191874610337,42.18991447656368,0,62.94858287037667,41.42007680398852,246.42640687119285,1
16,1447,1677,0.4192303882380951,42.92292652221864,0,52.71978697828061,47.863234022640874,232.42640687119285,1
17,3295,4140,0.49805104755181656,64.77132312916235,0,86.77632576030639,75.24789231908751,433.58073580374355,1
18,3185,4312,0.6622578045156684,63.68098578054122,0,96.76033667708279,72.50020294307579,506.90054095713816,1
19,1030,1188,0.39364982006393756,36.21376438700094,0,44.13608870704788,40.57256182786574,185.45584412271572,0
20,3974,5040,0.6902817812068824,71.13265038487978,0,104.0311187282889,75.27074256981695,568.770598642227,1
21,1558,1880,0.5145089534794421,44.538828124428505,0,58.29088156886576,49.98355697514944,251.84062043356593,1
22,3215,4200,0.5108052403247051,63.980193312645966,0,88.33343555615878,75.93994200757199,462.8944443027283,1
23,1029,1188,0.39523085602800456,36.19618062078487,0,44.19452685770846,40.59628916538662,184.87005768508882,0
24,1046,1188,0.3983405004843736,36.493952427669164,0,43.95614987614893,40.31823415612438,183.69848480983498,0
25,2448,3182,0.7954392177617199,55.82911790017533,0,91.38061902588889,55.37970490000253,383.19595949289334,1
26,1264,1470,0.547848053316675,40.1170136543742,0,51.55260868358934,43.1277708846288,218.76955262170046,0
27,1079,1260,0.23277450944588662,37.06515167605875,0,44.42708845949781,43.20670893021502,192.8700576850888,0
28,1232,1443,0.317245894691772,39.60594802695323,0,48.19913546168007,45.70932788343297,207.01219330881975,0
29,6668,8632,0.570842421188893,92.14098590906256,0,126.34863196726039,103.73976210320077,853.4163056034262,1
30,1373,1665,0.5600225774877682,41.81097816269524,0,56.0014659403928,46.39594586997015,235.84062043356596,1
31,1226,1485,0.6688430207822061,39.5093872623369,0,55.822802764418505,41.49887633142268,223.94112549695427,1
32,3159,4108,0.745306214557577,63.420530759513355,0,99.03192344577582,66.02679334949215,467.4802307403552,1
33,1053,1225,0.0793606378593055,36.61586050615398,0,43.21880201212955,43.08248864118849,188.2842712474619,0
34,7206,8988,0.606130101330481,95.78603321654772,0,131.86270059853007,104.87904458929243,795.7472580451141,1
35,4128,4898,0.6007893300979525,72.49781266125724,0,94.94076665101876,75.89635080882617,482.515764646288,1
36,1009,1122,0.2519732371141382,35.84269382507095,0,41.18329218867141,39.85448044571976,181.1126983722081,0
37,2039,2491,0.45192056558597815,50.952285834052596,0,65.76129067856125,58.662897494473725,325.63961030678934,1
38,2387,2967,0.7656375173457339,55.12914649514206,0,84.47977868595612,54.343497604566316,365.2670273047588,1
39,4402,6156,0.34848573927006676,74.86521539356036,0,104.07124791494024,97.54744626915462,635.2203461105329,1
40,9289,11877,0.2950857064643192,108.75257298586055,0,135.27039010468116,129.2469061640315,958.4995667241113,1
41,1702,2024,0.2990001185685004,46.551624087020286,0,56.851290488312706,54.2505187050967,264.2193000900063,1
42,2524,3136,0.19261858941133203,56.68912250962746,0,70.76925356423864,69.4440074607542,367.43860018001266,1
43,1218,1505,0.5744479525084708,39.38027127239512,0,54.019006035991424,44.216777198054146,219.69848480983498,0
44,1097,1296,0.06952815550965973,37.37303547444967,0,44.683639474461295,44.57550460090386,198.0416305603426,0
45,3813,5025,0.4007793372089245,69.67684252371927,0,93.0882027383683,85.28504818781605,568.0071426749365,1
46,4164,5040,0.31964564766691667,72.8132506091935,0,89.62107037413722,84.91929404195174,456.651803615609,1
47,1503,1880,0.49799141083549703,43.74561733176193,0,58.528827175614545,50.75514316737169,269.49747468305833,1
48,2448,3060,0.5266309832044215,55.82911790017533,0,74.88540010040663,63.65962925539414,367.39696961967,1
49,1590,1911,0.5914324784958087,44.99389820996741,0,60.435059945938285,48.73208418317858,257.25483399593907,0
50,1103,1254,0.4898612096712257,37.47510130530516,0,46.29926992390179,40.363723574688635,191.69848480983498,0
51,1017,1156,0.07096909542661822,35.98450523483212,0,41.53411138248387,41.429383735477565,189.45584412271572,0
52,2128,2576,0.5573150167796183,52.05241350020599,0,68.83743741218879,57.155802301478694,311.6396103067893,1
53,8759,11024,0.337240198644302,105.60447515297489,0,133.05668148564516,125.26203960976059,924.0081886954629,1
54,5339,7084,0.5362358377076367,82.44892921888697,0,113.8016291998967,96.05633632302047,643.6700935788388,1
55,6032,8372,0.17388634594268496,87.63664150252737,0,116.96016324949152,115.17836028867873,820.280266634105,1
56,4649,5550,0.3226848402663396,76.93692639736638,0,93.0076810380515,88.03237167110916,521.6223663640862,1
57,953,1054,0.41180511306274964,34.833852588144914,0,41.07948320102353,37.43458035584328,169.45584412271572,0
58,1206,1443,0.31255535615238883,39.1857996084118,0,48.56475688519885,46.13164056412836,209.35533905932738,0
59,22884,32200,0.7754410433274885,170.695089975428,0,281.2034692051767,177.55748827351306,2626.8367952889585,1
60,2178,2773,0.599111684799565,52.66038101298911,0,74.31687347764137,59.502954166736906,329.0538238691624,1
61,1248,1476,0.4670858978541021,39.86229988133503,0,50.58311512940786,44.726194622604986,222.84062043356593,0
62,2104,2652,0.22190811235204638,51.758052534101225,0,65.76298832507007,64.1233580181342,330.71067811865476,1
63,4169,5092,0.48859302250258485,72.85695342244894,0,93.3436541555022,81.44344062705193,479.373629022557,1
64,2417,2914,0.6420164114344362,55.47449846213022,0,76.03292356492899,58.29375016653548,336.46803743153544,1
65,1850,2394,0.662067180891851,48.53342309955121,0,71.93562147270768,53.9117553583528,321.8822509939086,1
66,2529,3294,0.4559294162578786,56.74524481077887,0,77.82259675196109,69.26335133635,360.0243866176395,1
67,985,1122,0.24255309186108256,35.413852537730705,0,41.58855116760372,40.3466393952293,176.87005768508882,0
68,1043,1161,0.774850082439863,36.44158126589425,0,51.83912587515792,32.76984622391177,190.62741699796953,0
69,5087,6734,0.5587840575117563,80.47962204227709,0,114.14585871918516,94.66266690532643,622.7350647362942,1
70,2294,2760,0.6277379405952271,54.044532707966525,0,73.63256918763426,57.317413624415735,333.0538238691624,1
71,7297,8544,0.4496707918212796,96.38894624350078,0,117.33029562051185,104.79875924112001,702.6761902332486,1
72,1628,2040,0.602274463744618,45.528386516862696,0,63.6058957179617,50.77589257579442,285.9827560572969,1
73,4714,6384,0.448288413077943,77.47290632138153,0,107.11309256519043,95.74721246666832,647.4985207035849,1
74,935,1056,0.24315443100965528,34.503318308930474,0,40.21288387515539,39.00599827402833,169.45584412271572,0
75,1659,1968,0.5092428149164647,45.95981293168669,0,59.04415041204682,50.81474725077523,259.49747468305833,1
76,1124,1292,0.4400801539365603,37.83016320718592,0,46.504261834056635,41.75889695124331,199.11269837220811,0
77,1978,2450,0.21922120901412115,50.18433838844697,0,62.80665376916933,61.27889337110944,303.0538238691624,1
78,8500,9991,0.37896091003657484,104.03141895720198,0,124.67898579461325,115.37951440809022,743.5107140124047,1
79,6257,8120,0.7827967573061858,89.2561473031853,0,141.872189352804,88.28386558116766,781.995995386643,1
80,1103,1296,0.04675553680438469,37.47510130530516,0,44.580266120188476,44.53151144117497,194.5269119345812,0
81,1408,1692,0.6304377736786928,42.34053942720982,0,58.102149465456165,45.10120037221241,240.42640687119285,1
82,2131,2562,0.7063113906164862,52.089091658720946,0,74.17135309553039,52.50599565210205,324.71067811865476,1
83,1617,2035,0.7257899430030278,45.37431370100002,0,68.65667676437377,47.23005317949397,277.74011537017765,1
84,1325,1517,0.43122229356035524,41.07362166615078,0,50.02591475259507,45.135667315989096,222.76955262170046,1
85,1037,1190,0.23339416063130236,36.33661249883324,0,42.89451798679657,41.70986627317307,185.69848480983498,0
86,8938,11368,0.5299233632391032,106.67809077239284,0,142.5614506741899,120.89860167878487,949.5229073212244,1
87,1613,1932,0.4141835196357207,45.31815735064498,0,57.1644856332958,52.03073711886909,256.6690475583121,1
88,14124,18104,0.5216474005000653,134.10158585877886,0,179.89068594674248,153.47574889099823,1352.2640687119285,1
89,1128,1330,0.38720404907542727,37.89741688375691,0,47.064804221938076,43.39346935862853,199.11269837220811,0
90,1369,1628,0.5359713795751669,41.750029182533964,0,54.46585560080866,45.98204434563779,232.1837661840736,0
91,1232,1470,0.545450532840665,39.60594802695323,0,52.08660544271236,43.65602460860827,213.35533905932738,0
92,2983,3900,0.7570759263869675,61.628512572874826,0,97.8915137602064,63.955159477609286,444.95941546018395,1
93,1007,1155,0.32910528115234616,35.80715321759479,0,42.87963676807202,40.490950925043585,180.8700576850888,0
94,1257,1462,0.6001656379455614,40.005775929634204,0,52.54467855181593,42.02921388895565,220.42640687119285,1
95,2574,3120,0.48243382219922987,57.24786972585363,0,73.75246916824939,64.60217891702733,356.9888527117068,1
96,2171,2585,0.5163909420403952,52.57568878883127,0,67.62081665905254,57.907286617220684,308.94722215136414,1
97,1777,2184,0.5701218574202273,47.56623456817225,0,64.37777968671368,52.89021785117706,280.32590180780454,1
98,1438,1710,0.5228785350644539,42.78923305376207,0,55.44012590726072,47.257562588416796,239.84062043356596,1
99,1618,1927,0.48080438934956415,45.38834193249951,0,58.01986834130788,50.873438421489645,255.49747468305833,1
100,2836,3480,0.3562250985049397,60.090825829480174,0,75.26006289699664,70.32301562553658,380.71067811865476,1
